"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Performance (3 Years)","Performance (5 Years)","Performance (10 Years)","Volatility (Week)","Volatility (Month)","Average Volume","Relative Volume","Price","Change","Volume"
544,"BNY",1.70%,4.86%,13.77%,31.50%,37.75%,52.26%,265.69%,183.49%,291.47%,1.87%,1.75%,3542.10,0.00,159.92,-1.94%,2
545,"BOAT",-1.60%,10.69%,16.52%,17.12%,51.92%,51.01%,72.08%,77.69%,,1.46%,1.63%,29.79,0.00,47.95,0.00%,0
546,"BOBS",-7.15%,0.76%,26.42%,-19.31%,0.76%,,,,,4.28%,5.10%,1019.40,0.00,17.13,0.00%,0
547,"BOCT",-0.03%,2.44%,3.12%,8.76%,10.05%,15.50%,49.66%,66.91%,,0.17%,0.25%,11.34,0.00,54.39,0.00%,0
548,"BOE",1.22%,4.17%,4.09%,3.23%,6.58%,8.24%,26.96%,0.22%,14.73%,0.93%,1.18%,97.77,0.00,12.48,0.00%,0
549,"BOND",5.17%,5.02%,3.49%,0.93%,2.39%,3.00%,6.78%,-13.99%,-10.57%,0.21%,0.27%,544.35,0.00,95.30,4.79%,1
550,"BOSC",0.44%,1.11%,-4.21%,-2.15%,-0.22%,-4.61%,25.69%,9.64%,30.37%,4.43%,2.66%,44.28,0.00,4.55,0.00%,0
551,"BOTJ",-1.58%,-3.71%,16.38%,29.08%,43.81%,74.98%,140.29%,89.69%,135.21%,2.13%,2.93%,29.55,0.00,26.72,0.00%,0
552,"BOTZ",1.51%,7.93%,-9.75%,-7.97%,0.34%,7.55%,41.01%,-1.22%,,0.99%,1.31%,859.03,0.08,36.35,2.03%,3228
553,"BOW",-0.12%,4.51%,24.57%,28.48%,17.76%,7.76%,,,,0.66%,1.57%,285.52,0.00,33.61,0.00%,0
554,"BOX",0.82%,6.00%,35.35%,45.11%,11.63%,7.16%,9.48%,32.82%,155.86%,3.06%,3.29%,2718.26,0.00,33.39,0.00%,0
555,"BOXA",0.15%,0.45%,0.19%,-1.58%,-0.06%,1.47%,,,,0.07%,0.37%,0.82,0.00,105.27,0.00%,0
556,"BOXX",0.09%,0.33%,0.97%,1.92%,2.53%,4.05%,14.70%,,,0.03%,0.03%,2515.48,0.18,118.01,0.02%,23036
557,"BP",-6.38%,-2.45%,1.61%,11.24%,21.68%,21.12%,16.90%,69.45%,23.71%,1.78%,1.89%,8972.23,0.09,42.26,-0.56%,41451
558,"BPAC",0.20%,0.30%,0.89%,2.00%,2.72%,,,,,0.10%,0.09%,16.91,0.00,10.18,0.00%,0
559,"BPAY",2.15%,3.78%,12.41%,15.83%,1.97%,-14.29%,35.43%,,,0.27%,0.62%,2.58,0.00,27.68,0.00%,0
560,"BPH",-2.66%,0.74%,1.44%,11.35%,22.88%,22.44%,,,,0.85%,1.07%,0.68,0.00,66.08,0.00%,0
561,"BPRN",0.50%,1.05%,17.02%,21.91%,21.91%,29.29%,45.33%,38.88%,40.97%,2.03%,2.56%,20.03,0.00,42.29,0.00%,0
562,"BPRO",3.01%,18.69%,3.68%,-11.47%,-10.23%,,,,,1.51%,0.77%,7.16,0.00,22.39,0.00%,0
563,"BRAZ",4.19%,1.31%,0.73%,-8.07%,13.26%,27.59%,20.76%,,,0.00%,0.29%,0.71,0.00,30.95,0.00%,0
564,"BRC",2.26%,-3.71%,8.20%,2.53%,20.06%,23.30%,87.02%,81.85%,180.36%,2.68%,2.57%,272.61,0.00,94.09,0.00%,0
565,"BRCE",0.08%,3.67%,5.55%,12.96%,17.11%,,,,,0.12%,0.17%,1.28,0.00,30.31,0.00%,0
566,"BREE",2.06%,7.31%,0.89%,,10.41%,,,,,0.31%,0.51%,1.10,0.00,27.33,0.00%,0
567,"BRES",0.09%,2.87%,3.37%,8.02%,10.17%,,,,,0.39%,0.55%,14.51,0.00,27.50,0.00%,0
568,"BREW",2.10%,1.57%,3.55%,,9.35%,,,,,0.01%,0.24%,1.05,0.00,27.87,0.00%,0
569,"BREZ",0.20%,0.39%,,,1.01%,,,,,0.02%,0.09%,119.08,0.00,10.00,0.00%,0
570,"BRHY",1.34%,1.68%,0.39%,0.29%,0.31%,0.17%,,,,0.12%,0.16%,30.34,0.00,51.60,0.99%,2
571,"BRIE",1.36%,5.32%,4.86%,5.95%,18.04%,,,,,0.61%,0.89%,142.15,0.00,31.28,0.00%,0
572,"BRIF",-0.42%,1.98%,6.54%,20.22%,24.78%,31.28%,,,,0.73%,0.69%,9.54,0.00,37.48,0.00%,0
573,"BRK-A",0.90%,-1.44%,5.28%,2.01%,0.28%,2.68%,40.17%,76.15%,240.90%,0.86%,1.29%,0.19,0.00,756927.81,0.00%,0
574,"BRK-B",1.02%,-1.42%,5.14%,-0.15%,-0.14%,1.25%,41.02%,75.14%,239.36%,0.89%,1.41%,4721.40,0.04,501.94,-0.59%,10020
575,"BRKH",0.43%,0.50%,,,0.10%,,,,,0.19%,,81.21,0.00,10.01,0.00%,0
576,"BRNY",0.35%,3.60%,4.34%,17.59%,17.80%,28.15%,107.65%,,,0.36%,0.64%,22.69,0.00,59.43,0.00%,0
577,"BROL",-0.50%,4.10%,4.44%,,3.97%,,,,,0.25%,0.38%,3.56,0.00,26.10,0.00%,0
578,"BRSM",-0.34%,2.16%,,,4.87%,,,,,0.18%,0.11%,21.56,0.00,26.19,0.00%,0
579,"BRTMU",0.40%,0.20%,,,0.20%,,,,,0.10%,0.10%,655.85,0.00,9.98,0.00%,0
580,"BRVE",-4.18%,,,,-8.08%,,,,,6.71%,,557.82,0.00,27.76,0.00%,0
581,"BRZL",17.82%,,,,16.05%,,,,,,,0.64,4.53,29.06,3.26%,145
582,"BRZU",8.24%,-2.64%,-3.45%,-22.74%,17.56%,48.11%,14.43%,-9.74%,-91.97%,3.97%,3.40%,23.62,0.00,93.74,0.00%,0
583,"BSAC",1.23%,4.04%,9.90%,-1.56%,13.50%,48.55%,83.71%,70.58%,64.77%,2.51%,2.33%,341.01,0.00,35.31,0.00%,0
584,"BSBR",4.31%,6.02%,5.83%,-13.67%,-4.45%,14.02%,17.83%,-5.76%,26.97%,1.70%,2.14%,2761.63,0.00,5.81,0.00%,0
585,"BSEP",0.14%,1.81%,2.95%,8.11%,9.53%,14.56%,58.32%,67.43%,,0.19%,0.21%,4.55,0.00,53.94,0.00%,0
586,"BSJR",-0.18%,0.37%,-0.13%,-0.80%,-1.10%,-1.61%,3.69%,-12.33%,,0.19%,0.24%,171.80,0.00,22.36,0.00%,1
587,"BSJT",-0.19%,0.59%,0.00%,-0.61%,-1.58%,-1.67%,5.19%,,,0.22%,0.27%,164.24,0.00,21.17,0.00%,0
588,"BSJY",-0.40%,0.91%,,,0.20%,,,,,0.04%,0.09%,0.81,0.00,25.04,0.00%,0
589,"BSMC",-0.03%,-0.23%,7.28%,6.24%,17.09%,22.61%,,,,0.57%,0.71%,11.50,0.00,40.66,0.00%,0
590,"BSMR",-0.09%,0.23%,0.13%,-0.67%,-0.13%,0.25%,1.35%,-8.87%,,0.16%,0.18%,55.28,0.00,23.64,0.00%,0
591,"BSOL",19.57%,44.15%,28.94%,24.67%,-12.80%,,,,,2.67%,2.20%,2805.14,0.95,14.30,7.84%,133041
592,"BSP",5.53%,28.87%,,,35.94%,,,,,5.52%,10.06%,2901.00,0.00,42.14,-0.59%,483
593,"BSR",-0.40%,3.19%,1.60%,-1.05%,4.93%,6.60%,22.00%,,,0.00%,0.16%,1.75,0.00,30.72,0.00%,0
594,"BST",1.60%,11.52%,3.18%,23.37%,22.52%,29.88%,59.28%,-1.00%,212.62%,1.36%,1.68%,99.36,0.00,49.67,0.00%,0
595,"BSTP",-0.17%,2.20%,2.20%,6.75%,8.01%,12.82%,49.01%,,,0.30%,0.33%,3.51,0.00,40.10,0.00%,0
596,"BSTZ",-0.03%,11.70%,3.00%,32.02%,35.12%,41.98%,81.11%,-18.97%,,2.13%,2.60%,218.91,0.00,30.55,0.00%,0
597,"BSV",0.10%,0.10%,-0.46%,-1.87%,-1.41%,-1.56%,3.24%,-5.20%,-3.41%,0.27%,0.21%,2736.86,0.00,77.70,0.00%,7
598,"BSVN",0.76%,3.23%,17.73%,21.89%,26.38%,4.73%,104.22%,148.27%,,2.31%,2.51%,30.73,0.00,51.79,0.00%,0
599,"BSVO",-0.89%,-1.11%,5.18%,12.14%,26.05%,29.42%,58.84%,,,0.68%,0.91%,139.60,0.00,29.37,0.00%,0
600,"BTA",,,,,-0.18%,,,,,,,305.49,0.00,24.66,0.00%,0
601,"BTCK",6.72%,3.84%,,,4.68%,,,,,4.87%,1.99%,3.23,0.00,25.96,0.00%,0
602,"BTCU",18.52%,52.55%,8.64%,,4.28%,,,,,3.85%,3.55%,19.64,0.30,25.34,2.25%,295
603,"BTG",6.88%,53.74%,25.00%,-7.41%,27.49%,41.63%,89.14%,47.44%,98.28%,3.57%,4.07%,24031.05,0.00,5.75,0.17%,2099
604,"BTO",0.20%,-4.05%,8.83%,7.07%,13.54%,6.95%,50.30%,-5.43%,45.26%,1.87%,1.86%,44.52,0.00,39.83,0.00%,0
605,"BTR",-0.25%,1.99%,3.30%,5.85%,12.56%,14.83%,17.26%,,,0.00%,0.12%,2.29,0.00,28.50,0.00%,0
606,"BUFB",-0.26%,2.09%,2.49%,7.92%,9.40%,14.42%,54.38%,,,0.46%,0.68%,31.29,0.00,40.08,0.00%,0
607,"BUFC",-0.13%,1.36%,1.82%,3.80%,4.49%,7.71%,,,,0.23%,0.30%,40.03,0.00,43.18,0.00%,0
608,"BUFD",-0.12%,1.60%,2.14%,5.93%,7.14%,11.07%,40.72%,44.69%,,0.48%,0.47%,281.42,0.00,30.25,0.00%,0
609,"BUFE",1.03%,5.14%,1.51%,,5.54%,,,,,0.13%,0.25%,8.52,0.00,21.80,0.00%,0
610,"BUFF",-0.04%,1.76%,2.23%,6.22%,7.60%,11.19%,41.78%,52.70%,,0.30%,0.40%,93.70,0.00,53.65,0.00%,0
611,"BUFG",-0.17%,2.10%,2.36%,7.29%,8.61%,13.22%,49.45%,,,0.40%,0.60%,42.38,0.00,29.89,0.00%,0
612,"BUFH",0.02%,0.75%,1.26%,3.22%,3.64%,5.96%,,,,1.91%,0.59%,13.98,0.00,21.61,0.00%,0
613,"BUFI",0.40%,2.83%,2.95%,3.87%,8.37%,13.08%,,,,0.27%,0.39%,15.44,0.00,43.46,0.00%,0
614,"BUFM",-0.18%,1.72%,1.77%,3.72%,5.29%,9.49%,,,,0.22%,0.25%,34.15,0.00,41.14,0.00%,0
615,"BUFP",-0.06%,2.02%,2.51%,7.33%,8.65%,13.45%,,,,0.27%,1.12%,42.80,0.00,32.73,0.00%,0
616,"BUFQ",0.03%,3.62%,1.05%,9.47%,10.30%,14.78%,57.74%,,,0.54%,0.69%,146.70,0.00,39.53,0.00%,0
617,"BUFR",0.05%,2.13%,2.67%,7.48%,8.99%,13.84%,49.78%,60.95%,,0.26%,0.38%,1299.01,0.00,37.34,0.00%,0
618,"BUFS",-0.20%,1.20%,2.98%,7.41%,11.08%,15.16%,,,,0.37%,0.36%,33.28,0.00,25.37,0.00%,0
619,"BUFT",0.02%,1.16%,1.51%,5.88%,6.77%,9.53%,32.34%,,,0.35%,0.30%,24.34,0.00,26.27,0.00%,0
620,"BUFX",0.09%,1.28%,2.06%,5.14%,6.03%,9.37%,,,,0.33%,0.23%,5.70,0.00,22.52,0.00%,0
621,"BUFY",0.29%,2.30%,3.26%,4.47%,8.14%,12.10%,,,,0.42%,0.41%,48.72,0.00,24.05,0.00%,0
622,"BUFZ",0.04%,1.61%,2.41%,6.08%,7.20%,11.44%,,,,0.34%,0.34%,150.19,0.00,28.44,0.00%,0
623,"BUG",3.90%,12.44%,23.50%,62.30%,36.88%,23.21%,74.16%,30.84%,,3.30%,3.06%,1264.31,0.14,41.69,4.29%,8669
624,"BUL",0.66%,6.60%,11.89%,14.18%,18.64%,23.66%,81.28%,65.53%,,0.64%,0.87%,8.35,0.00,65.36,0.00%,0
625,"BULD",-0.76%,8.07%,5.68%,16.84%,37.18%,54.32%,81.90%,,,0.55%,0.92%,8.13,0.00,35.73,0.00%,0
626,"BULZ",4.06%,51.85%,-27.29%,78.52%,44.10%,90.11%,473.53%,31.14%,,3.68%,6.48%,923.15,0.15,37.40,4.06%,7149
627,"BUSA",0.47%,2.11%,9.05%,9.39%,16.33%,23.14%,,,,0.49%,0.77%,20.20,0.00,42.52,0.00%,0
628,"BUSM",-0.75%,4.97%,,,4.77%,,,,,0.89%,1.11%,7.93,0.00,17.16,0.00%,0
629,"BUUU",-0.88%,13.23%,73.34%,87.17%,338.47%,281.44%,,,,11.95%,14.25%,61.71,0.00,28.15,0.00%,0
630,"BUXX",0.10%,0.05%,-0.15%,-0.34%,0.10%,-0.87%,0.83%,,,0.09%,0.09%,255.85,0.00,20.26,0.00%,0
631,"BUYB",-0.02%,-0.60%,8.36%,,9.28%,,,,,0.42%,0.52%,3.24,0.00,43.59,0.00%,0
632,"BUYO",-0.52%,2.20%,7.31%,13.89%,20.92%,27.57%,,,,0.11%,0.15%,0.79,0.00,33.63,0.00%,0
633,"BUYW",-0.48%,0.48%,0.90%,1.89%,1.75%,2.75%,8.65%,,,0.43%,0.39%,357.58,0.00,14.57,0.00%,0
634,"BUYZ",0.71%,5.89%,5.93%,10.80%,-8.01%,-13.35%,48.66%,-29.28%,,0.12%,0.25%,0.43,0.00,36.91,0.00%,0
635,"BUZZ",-0.05%,11.49%,-6.82%,16.74%,12.25%,12.43%,133.63%,41.74%,,1.21%,2.17%,69.64,0.00,36.47,0.00%,0
636,"BVAL",-0.11%,2.11%,4.75%,9.62%,15.87%,21.04%,,,,0.36%,0.58%,28.12,0.00,32.30,0.00%,0
637,"BVN",6.47%,19.09%,4.48%,-9.57%,30.00%,90.92%,342.84%,391.58%,169.20%,4.92%,4.21%,1141.11,0.00,36.18,0.00%,0
638,"BVS",-4.84%,5.75%,56.97%,59.66%,87.77%,92.16%,304.93%,-9.23%,,3.13%,5.28%,747.13,0.00,13.97,0.00%,0
639,"BWET",-22.04%,36.50%,111.57%,498.35%,1721.01%,2720.02%,1829.68%,,,9.42%,6.46%,192.76,0.02,350.81,-1.64%,218
640,"BWFG",0.02%,-1.81%,24.62%,36.43%,43.28%,54.07%,150.96%,117.46%,194.79%,2.14%,2.41%,74.37,0.00,65.65,0.00%,0
641,"BWIV",0.00%,0.40%,0.30%,,1.02%,,,,,0.25%,0.09%,25.46,0.00,9.95,0.00%,0
642,"BWLP",-0.04%,7.50%,14.47%,31.73%,79.39%,54.91%,106.32%,330.17%,688.59%,2.38%,2.61%,402.37,0.12,23.50,-0.13%,2367
643,"BWMN",-0.07%,60.79%,29.40%,28.65%,28.77%,2.02%,50.14%,207.00%,,0.37%,1.95%,267.37,0.00,42.52,0.00%,0
644,"BWQG",-0.78%,7.18%,,,1.65%,,,,,0.28%,0.57%,20.55,0.00,25.65,0.00%,0
645,"BWZ",-0.14%,2.52%,0.52%,-1.62%,-0.32%,-1.37%,3.29%,-13.11%,-13.86%,0.36%,0.52%,93.00,0.00,27.32,0.00%,0
646,"BX",0.56%,9.85%,22.39%,20.51%,-7.79%,-17.19%,45.77%,18.74%,437.55%,2.06%,3.12%,4962.74,0.00,142.14,-0.74%,311
647,"BY",0.48%,-1.62%,16.22%,18.40%,32.13%,31.45%,85.17%,50.27%,,1.64%,1.55%,299.28,0.00,38.51,0.67%,1
648,"BYFC",3.88%,18.60%,29.43%,49.86%,62.84%,60.45%,53.70%,-55.96%,-11.40%,0.61%,2.05%,5.83,0.00,12.05,0.00%,0
649,"BYRE",0.54%,-2.16%,0.63%,4.20%,13.32%,9.51%,27.29%,,,0.42%,0.50%,3.20,0.00,27.72,0.00%,0
650,"BZ",17.24%,14.91%,37.34%,13.36%,-9.22%,-19.04%,30.83%,-46.94%,,7.42%,4.51%,4213.92,0.26,18.50,-1.80%,54285
651,"CAAS",10.46%,21.94%,12.58%,15.54%,23.94%,28.78%,53.10%,74.67%,62.13%,6.71%,5.21%,29.13,0.00,5.28,0.00%,0
652,"CAC",-0.59%,-3.94%,12.88%,16.44%,29.48%,36.53%,72.99%,18.70%,84.36%,3.41%,2.70%,103.08,0.00,56.17,-0.73%,2
653,"CACI",-3.45%,27.93%,19.35%,4.50%,17.12%,28.12%,91.84%,142.12%,532.32%,2.68%,3.92%,288.12,0.03,624.04,-0.11%,408
654,"CADL",8.91%,43.09%,66.25%,161.17%,138.05%,127.58%,938.61%,68.12%,,6.58%,6.25%,1630.14,0.00,13.45,1.28%,193
655,"CAES",0.40%,0.40%,,,-0.20%,,,,,0.04%,0.10%,241.57,0.00,10.11,0.00%,0
656,"CAGE",-0.79%,5.61%,2.88%,,15.07%,,,,,0.98%,1.52%,105.72,0.00,28.79,0.00%,0
657,"CAH",4.35%,4.05%,19.29%,4.96%,16.01%,59.74%,172.05%,360.77%,200.44%,2.13%,2.66%,2210.79,0.00,238.40,0.00%,52
658,"CAI",17.84%,72.03%,74.38%,46.48%,-0.59%,-30.14%,,,,8.17%,5.98%,3901.22,0.00,26.82,0.00%,0
659,"CAIE",-0.30%,1.40%,-1.01%,2.41%,2.39%,2.49%,,,,0.57%,0.69%,538.83,0.00,27.06,0.00%,0
660,"CAII",0.20%,0.60%,,,0.81%,,,,,0.09%,0.08%,100.12,0.00,10.00,0.00%,0
661,"CAKE",7.91%,13.66%,78.90%,76.64%,127.73%,85.69%,263.68%,146.27%,119.77%,3.73%,4.03%,1615.62,0.00,114.96,-0.34%,101
662,"CALF",1.10%,4.83%,16.97%,24.88%,30.56%,33.66%,38.75%,30.47%,,0.85%,1.27%,502.17,0.00,57.93,0.87%,4
663,"CALI",0.08%,0.04%,-0.03%,-0.62%,-0.09%,-0.38%,0.87%,,,0.08%,0.11%,110.00,0.00,50.42,0.00%,0
664,"CAML",-0.35%,4.97%,2.51%,7.59%,6.35%,7.73%,60.36%,,,0.64%,0.86%,24.84,0.00,40.59,0.00%,0
665,"CAMX",-0.05%,1.12%,4.44%,7.93%,14.42%,13.51%,45.96%,,,0.16%,0.13%,0.32,0.00,36.06,0.00%,0
666,"CANC",-0.77%,8.89%,17.73%,18.92%,29.16%,67.49%,81.49%,,,2.16%,2.06%,32.96,0.00,44.84,0.00%,0
667,"CAPE",0.34%,0.75%,3.14%,1.36%,3.78%,3.52%,36.83%,,,0.45%,0.93%,28.77,0.00,33.45,0.00%,0
668,"CAPL",-1.81%,5.91%,3.37%,17.75%,13.06%,10.85%,19.07%,24.55%,-10.66%,3.04%,3.08%,44.61,0.00,23.29,0.00%,0
669,"CAPN",0.49%,1.04%,4.04%,3.84%,5.40%,8.04%,,,,0.04%,0.05%,4.66,0.00,11.22,0.00%,0
670,"CAQ",-0.30%,0.40%,1.01%,,-1.19%,,,,,0.10%,0.10%,33.55,0.00,9.98,0.00%,0
671,"CARG",-2.27%,-0.60%,25.26%,19.63%,-5.61%,6.10%,102.12%,23.05%,,2.60%,3.75%,1233.25,0.00,36.20,0.00%,0
672,"CARK",-0.14%,4.67%,1.52%,10.54%,8.42%,12.85%,,,,0.16%,0.27%,4.35,0.00,47.78,0.00%,0
673,"CARL",4.25%,31.44%,38.05%,28.82%,31.01%,17.67%,,,,5.74%,5.77%,147.93,0.00,16.18,0.00%,0
674,"CART",0.65%,12.62%,28.69%,33.71%,14.27%,18.73%,,,,3.27%,3.73%,4231.98,0.00,51.40,1.24%,20
675,"CARX",0.61%,21.01%,,,9.15%,,,,,0.75%,0.52%,0.38,0.00,28.76,0.00%,0
676,"CARY",0.07%,-0.02%,-0.43%,-1.61%,-0.36%,-0.93%,3.35%,,,0.14%,0.26%,400.71,0.00,20.75,0.00%,0
677,"CASS",0.63%,1.97%,23.37%,27.17%,37.43%,31.38%,48.67%,29.27%,31.88%,4.58%,2.84%,85.28,0.00,57.06,0.00%,0
678,"CATH",-0.31%,3.45%,1.82%,9.37%,10.85%,15.98%,70.08%,64.00%,248.08%,0.47%,0.72%,45.20,0.00,91.15,0.00%,0
679,"CBC",3.39%,-0.28%,13.70%,33.17%,34.16%,65.97%,131.83%,178.02%,334.29%,3.46%,2.92%,761.48,0.00,32.36,0.00%,0
680,"CBFV",-0.88%,0.35%,5.68%,7.44%,7.23%,14.10%,73.70%,62.10%,66.93%,0.92%,1.36%,6.64,0.00,37.38,0.00%,0
681,"CBIL",0.08%,0.04%,,,0.28%,,,,,0.38%,0.12%,31.26,0.00,25.10,0.00%,0
682,"CBK",-0.03%,-2.45%,15.99%,26.02%,37.66%,,,,,2.35%,2.25%,75.55,0.00,33.81,0.00%,0
683,"CBL",-3.33%,-8.24%,15.25%,45.56%,49.53%,77.61%,164.71%,,,2.37%,2.98%,288.80,0.00,55.10,0.00%,0
684,"CBNA",-2.98%,4.40%,25.31%,28.18%,30.77%,57.35%,,,,3.00%,4.29%,18.62,0.00,45.30,0.00%,0
685,"CBNK",-1.20%,-4.26%,13.22%,19.54%,28.58%,5.32%,86.13%,52.63%,,1.87%,2.01%,64.32,0.01,36.22,-0.47%,38
686,"CBOE",11.20%,4.98%,-10.21%,7.18%,24.38%,28.60%,106.43%,149.55%,353.11%,3.22%,3.61%,1452.18,0.00,312.19,0.00%,0
687,"CBOL",1.04%,1.77%,1.27%,1.70%,-0.21%,,,,,0.13%,0.10%,0.70,0.00,23.86,0.00%,0
688,"CBON",-0.04%,1.09%,0.57%,2.98%,5.28%,7.95%,11.01%,-1.23%,2.23%,0.42%,0.45%,5.49,0.00,24.05,0.00%,0
689,"CBOO",0.14%,0.31%,0.72%,1.13%,0.65%,,,,,0.04%,0.06%,1.22,0.00,24.62,0.00%,0
690,"CBOX",0.07%,0.38%,1.08%,,1.45%,,,,,0.05%,0.05%,89.10,0.00,101.48,0.00%,0
691,"CBOY",1.07%,1.98%,2.21%,2.75%,1.65%,-1.13%,,,,0.04%,0.19%,1.71,0.00,24.98,0.00%,0
692,"CBRE",-3.04%,2.25%,15.53%,2.12%,-6.49%,-7.99%,82.08%,60.57%,407.46%,2.10%,3.05%,1958.87,0.00,150.36,0.00%,0
693,"CBXY",3.48%,5.78%,6.48%,6.02%,1.03%,-7.57%,,,,0.32%,0.24%,2.71,0.00,23.39,0.00%,0
694,"CCAQ",0.00%,0.67%,0.48%,2.23%,3.23%,4.87%,,,,0.13%,0.22%,76.83,0.00,10.55,0.00%,0
695,"CCBG",-0.65%,-2.78%,10.81%,17.58%,19.81%,16.61%,69.79%,118.81%,266.67%,1.56%,2.09%,92.36,0.11,51.00,-0.15%,504
696,"CCCT",1.02%,,,,-1.39%,,,,,0.04%,,119.54,0.00,9.91,0.00%,0
697,"CCEC",-0.92%,-0.26%,0.85%,-2.80%,8.29%,3.91%,53.64%,88.49%,65.43%,1.68%,2.46%,13.13,0.00,22.60,0.00%,0
698,"CCEF",0.10%,2.37%,1.41%,0.08%,4.25%,5.28%,,,,0.18%,0.28%,3.44,0.00,30.04,0.00%,0
699,"CCEP",1.33%,-2.55%,17.31%,-0.07%,19.37%,22.30%,70.56%,86.32%,180.42%,1.28%,1.75%,1975.46,0.03,108.27,-0.66%,2573
700,"CCII",0.00%,-0.10%,0.68%,0.68%,0.88%,2.08%,,,,0.04%,0.12%,36.34,0.00,10.33,0.00%,0
701,"CCJ",12.77%,27.47%,-2.56%,-8.78%,17.83%,43.20%,196.32%,505.62%,1060.39%,4.32%,3.71%,3352.73,0.02,107.80,0.41%,3767
702,"CCK",1.85%,-1.75%,21.45%,3.95%,15.65%,18.15%,34.51%,8.75%,124.05%,2.05%,2.33%,1070.27,0.00,119.08,0.00%,0
703,"CCLD",0.38%,9.09%,13.79%,5.60%,-9.59%,-28.84%,61.96%,-67.65%,183.87%,5.30%,6.92%,298.58,0.00,2.64,0.00%,51
704,"CCNR",1.53%,11.46%,2.08%,4.01%,27.62%,46.58%,,,,0.56%,0.99%,32.66,0.00,41.83,0.00%,0
705,"CCPX",-0.79%,-1.58%,,,-1.81%,,,,,0.05%,0.03%,1.05,0.00,23.53,0.00%,0
706,"CCXI",6.04%,10.36%,45.99%,46.44%,46.27%,,,,,5.19%,7.95%,3081.54,0.19,14.92,0.67%,28647
707,"CDC",-0.41%,-0.42%,5.76%,5.83%,17.66%,16.98%,39.19%,17.22%,96.02%,0.52%,0.71%,16.48,0.00,77.53,0.00%,0
708,"CDE",0.99%,45.73%,14.69%,-19.73%,19.57%,70.97%,759.68%,206.32%,55.85%,4.71%,4.92%,37691.45,0.02,21.32,-0.56%,29117
709,"CDEI",-0.39%,3.46%,4.75%,13.84%,13.85%,22.07%,69.21%,,,0.07%,0.40%,1.65,0.00,94.17,0.00%,0
710,"CDIG",-0.09%,6.63%,1.99%,1.24%,7.20%,,,,,0.68%,0.86%,8.21,0.00,26.71,0.00%,0
711,"CDL",-0.40%,-0.41%,5.77%,5.79%,17.50%,17.01%,43.95%,39.09%,110.23%,0.58%,0.73%,7.18,0.00,80.90,0.00%,0
712,"CDNA",9.04%,44.70%,125.73%,172.26%,171.97%,285.55%,486.94%,-35.81%,933.06%,5.41%,5.20%,1081.51,0.01,51.24,0.55%,735
713,"CDP",1.36%,-2.41%,15.47%,17.21%,34.24%,30.63%,48.69%,32.91%,31.36%,1.52%,1.68%,967.99,0.00,37.32,0.00%,0
714,"CDPI",0.51%,0.73%,,,2.18%,,,,,0.05%,0.61%,8.27,0.00,20.46,0.00%,0
715,"CDRE",-7.67%,-5.63%,2.67%,-25.85%,-22.82%,2.47%,26.74%,,,4.58%,4.85%,387.31,0.00,31.52,0.00%,0
716,"CDZI",13.52%,35.23%,-7.99%,-24.11%,-28.16%,10.11%,1.00%,-70.30%,-44.95%,7.84%,7.27%,1010.78,0.01,4.03,0.00%,734
717,"CEF",2.90%,17.89%,0.39%,-13.65%,2.31%,48.90%,156.49%,165.65%,239.07%,2.29%,2.04%,730.36,0.00,46.86,0.00%,0
718,"CEFA",0.65%,4.91%,4.61%,3.17%,12.88%,17.56%,52.04%,28.75%,,1.33%,0.90%,7.00,0.00,41.69,0.00%,0
719,"CEFS",-0.69%,2.22%,0.08%,7.61%,9.90%,12.95%,42.34%,28.55%,,0.84%,1.25%,82.16,0.00,25.32,0.00%,0
720,"CEFZ",-0.42%,2.46%,-0.48%,0.06%,1.53%,2.40%,,,,1.55%,1.42%,18.82,0.00,8.31,0.00%,0
721,"CEG",3.32%,9.32%,-1.51%,-12.85%,-20.18%,-10.75%,166.35%,,,2.50%,3.49%,3405.73,0.03,281.99,0.88%,5468
722,"CELC",4.88%,14.09%,-27.44%,-14.52%,-4.76%,90.13%,860.47%,328.85%,,4.09%,5.07%,1500.63,0.00,94.99,-0.09%,9
723,"CEMB",-0.03%,0.22%,-0.73%,-2.12%,-1.05%,-1.07%,6.55%,-13.12%,-10.65%,0.14%,0.15%,68.30,0.00,45.39,0.00%,0
724,"CENT",-0.43%,-0.56%,12.25%,11.45%,37.42%,23.37%,27.68%,22.98%,115.78%,2.82%,3.49%,99.03,0.00,44.18,0.00%,0
725,"CEPO",0.65%,0.94%,1.56%,2.87%,3.36%,2.77%,,,,0.27%,0.19%,180.87,0.00,10.76,0.00%,0
726,"CEPS",-0.10%,-0.10%,1.37%,2.52%,2.57%,,,,,0.00%,0.16%,28.48,0.00,10.39,0.00%,0
727,"CEPV",0.10%,-0.57%,1.56%,2.47%,1.37%,,,,,0.02%,0.21%,63.88,0.00,10.39,0.00%,0
728,"CERY",-0.73%,5.12%,3.52%,18.43%,33.03%,36.57%,,,,1.69%,1.53%,201.30,0.02,37.98,0.00%,171
729,"CET",0.38%,4.29%,3.81%,5.07%,8.80%,14.06%,66.10%,56.71%,273.73%,1.30%,1.31%,35.16,0.00,54.91,0.00%,0
