"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Performance (3 Years)","Performance (5 Years)","Performance (10 Years)","Volatility (Week)","Volatility (Month)","Average Volume","Relative Volume","Price","Change","Volume"
4254,"TBFC",0.10%,1.57%,0.02%,0.80%,3.02%,7.35%,,,,0.00%,0.07%,1.36,0.00,29.56,0.00%,0
4255,"TBFG",0.17%,2.92%,1.32%,4.68%,10.80%,16.55%,,,,0.08%,0.07%,1.62,0.00,33.15,0.00%,0
4256,"TBG",-0.43%,1.84%,6.16%,7.58%,17.76%,17.43%,,,,0.60%,0.80%,31.74,0.00,39.32,0.00%,0
4257,"TBLL",-0.13%,0.13%,0.12%,0.14%,0.04%,0.13%,0.28%,0.04%,,0.01%,0.02%,266.88,0.00,105.70,0.09%,1
4258,"TBLU",-0.27%,-0.20%,2.93%,-7.00%,1.96%,-5.07%,29.18%,7.60%,,0.27%,0.53%,2.07,0.00,51.80,0.00%,0
4259,"TBN",-2.94%,15.10%,8.20%,19.23%,35.73%,81.18%,,,,3.17%,3.59%,185.54,0.00,36.96,0.00%,0
4260,"TBPH",0.24%,0.83%,4.74%,-10.65%,-8.98%,23.41%,80.21%,106.93%,-39.57%,0.32%,0.27%,635.32,0.00,17.03,0.00%,0
4261,"TBT",-0.59%,1.99%,3.23%,13.32%,6.87%,3.09%,8.83%,113.49%,18.73%,1.09%,1.28%,378.19,0.00,37.34,0.00%,0
4262,"TBXU",-0.96%,29.49%,52.94%,22.59%,42.77%,,,,,1.90%,1.99%,3.16,0.00,44.35,0.00%,0
4263,"TCAF",0.54%,4.19%,5.09%,12.70%,11.90%,16.10%,67.92%,,,0.51%,0.76%,656.21,0.00,42.77,0.00%,0
4264,"TCBX",-1.14%,1.58%,15.44%,8.25%,16.65%,10.91%,131.78%,,,2.06%,2.10%,118.16,0.00,44.34,0.00%,0
4265,"TCHP",-0.61%,4.72%,-3.65%,5.25%,0.54%,5.56%,80.97%,51.25%,,0.76%,1.18%,243.81,0.00,50.13,0.00%,0
4266,"TCV",-0.78%,0.09%,6.39%,14.21%,28.48%,31.64%,,,,0.93%,1.02%,12.10,0.00,33.27,0.00%,0
4267,"TD",3.29%,3.16%,6.48%,22.18%,28.12%,58.51%,104.28%,82.67%,173.61%,1.68%,1.71%,2582.42,0.00,120.69,1.06%,497
4268,"TDAC",-0.23%,-0.18%,0.84%,2.75%,3.15%,4.74%,,,,0.30%,0.32%,122.19,0.00,10.82,0.00%,0
4269,"TDEC",1.08%,5.20%,3.08%,4.98%,12.21%,18.84%,,,,0.02%,0.19%,5.28,0.00,27.07,0.00%,0
4270,"TDF",-0.28%,2.84%,-2.86%,-6.29%,-3.46%,-2.77%,23.52%,-34.10%,30.11%,1.86%,2.14%,65.48,0.00,10.87,0.00%,0
